,index,Lat,Long,Magnitude,Epicenter,DateTime
0,9,27.75,86.16,5.1,Dolakha,1994-06-25 05:45:00
1,8,29.37,81.52,5.5,Bajura,1994-07-17 11:00:00
3,6,28.34,87.35,4.8,Sankhuwasabha,1994-09-25 11:00:00
4,5,29.0,82.26,4.6,Jajarkot,1994-10-22 11:00:00
5,4,28.92,82.0,4.7,Jajarkot,1994-10-24 11:00:00
6,3,29.54,81.15,4.2,Bajhang,1994-11-21 11:00:00
7,2,29.72,81.56,4.5,Bajura,1994-11-27 11:00:00
8,1,29.84,80.69,4.6,Darchula,1994-12-12 11:00:00
9,0,28.7,82.88,4.6,Rukum,1994-12-13 11:00:00
10,21,28.35,83.44,4.3,Magdi,1995-01-19 11:00:00
11,20,26.85,86.11,4.5,Dhanusa,1995-01-29 11:00:00
12,19,29.38,82.3,4.2,Jumla,1995-01-30 11:00:00
13,18,29.32,82.19,4.3,Jumla,1995-01-30 11:00:00
14,17,27.74,85.88,4.6,Kavrepalanchowk,1995-02-18 11:00:00
15,16,29.51,81.71,4.7,Bajura,1995-04-17 11:00:00
16,15,27.22,87.95,4.2,Taplejung,1995-06-11 11:00:00
18,13,30.04,81.54,4.8,Humla,1995-08-03 11:00:00
19,12,29.88,81.63,5.0,Bajura,1995-08-07 11:00:00
21,10,28.27,84.44,4.7,Lamjung,1995-10-04 11:15:00
22,30,27.122,86.766,4.8,Udayapur,1996-02-28 11:00:00
23,29,27.935,87.705,5.3,Taplejung,1996-04-26 11:00:00
24,28,29.616,81.98100000000001,4.6,Mugu,1996-07-10 11:00:00
26,26,29.63,81.859,4.9,Mugu,1996-11-04 11:00:00
27,25,29.666999999999998,81.699,4.9,Humla,1996-11-08 11:00:00
28,24,27.39,86.84200000000001,5.3,Solukhumbu,1996-12-03 11:00:00
29,23,29.011999999999997,81.726,4.4,Dailekh,1996-12-22 11:00:00
30,22,29.75,81.828,5.2,Humla,1996-12-29 11:00:00
31,48,27.005,86.561,4.5,Udayapur,1997-01-01 11:00:00
32,47,29.785,80.58800000000001,5.6,Darchula,1997-01-05 11:00:00
33,46,28.015,85.301,5.0,Rasuwa,1997-01-31 11:00:00
34,45,28.078000000000003,85.286,5.8,Rasuwa,1997-01-31 11:00:00
35,44,28.0,85.303,4.7,Rasuwa,1997-02-01 11:00:00
36,43,28.02,85.33,5.0,Rasuwa,1997-02-03 11:00:00
37,42,28.09,85.29,4.7,Rasuwa,1997-02-03 11:00:00
38,41,28.12,85.33,4.2,Rasuwa,1997-02-10 11:00:00
39,40,29.52,81.33,4.4,Bajhang,1997-02-18 11:00:00
40,39,28.06,85.28,5.0,Rasuwa,1997-03-24 11:00:00
41,38,27.5,87.74600000000001,4.6,Solukhumbu,1997-04-07 11:00:00
43,36,28.68,82.58,4.5,Rukum,1997-05-28 11:00:00
44,35,27.65,86.41,4.8,Ramechhap,1997-10-11 11:00:00
45,34,28.66,82.54,5.2,Rukum,1997-10-24 11:00:00
46,33,27.75,86.0,4.3,Dolakha,1997-11-26 11:00:00
47,32,27.74,87.0,5.5,Solukhumbu,1997-11-27 11:00:00
48,31,27.19,86.85,5.0,Khotang,1997-12-08 11:00:00
49,60,27.59,88.19,4.6,Taplejung,1998-02-12 11:00:00
51,58,27.15,87.86,5.0,Panchthar,1998-02-28 11:00:00
52,57,29.41,82.38,4.7,Jumla,1998-05-10 11:00:00
53,56,26.76,84.81700000000001,4.8,Parsa,1998-05-16 11:00:00
54,55,27.866,85.81200000000001,5.0,Sankhuwasabha,1998-06-27 11:00:00
55,54,29.551,81.247,5.1,Bajhang,1998-07-15 11:00:00
56,53,27.873,86.964,5.6,Solukhumbu,1998-09-03 11:00:00
57,52,27.796999999999997,87.015,4.7,Solukhumbu,1998-09-06 11:00:00
58,51,27.444000000000003,88.33,5.0,Taplejung,1998-09-10 11:00:00
59,50,28.076999999999998,85.66,4.9,Sindhupalchowk,1998-10-16 11:00:00
60,49,27.859,87.814,5.4,Taplejung,1998-11-26 11:00:00
61,69,28.61,83.348,4.7,Myagdi,1999-02-11 11:00:00
62,68,29.866999999999997,80.618,4.6,Darchula,1999-02-19 11:00:00
63,67,27.934,85.834,4.8,Sindhupalchowk,1999-03-19 11:00:00
65,65,29.596,81.226,4.4,Bajhang,1999-04-07 11:00:00
66,64,27.795,86.208,5.7,Dolakha,1999-08-10 11:00:00
67,63,28.156999999999996,84.742,4.5,Gorkha,1999-08-25 11:00:00
68,62,27.38,87.897,4.5,Taplejung,1999-09-20 11:00:00
69,61,30.159000000000002,81.563,4.6,Humla,1999-12-11 11:00:00
70,79,27.928,86.06,4.8,Sindhupalchowk,2000-01-20 11:00:00
71,78,27.378,88.059,4.6,Taplejung,2000-01-25 11:00:00
72,77,28.616999999999997,82.314,5.1,Jajarkot,2000-02-26 11:00:00
73,74,29.77,81.41,4.2,Bajhang,2000-03-13 11:00:00
74,75,27.99,87.42,5.0,Taplejung,2000-03-13 11:00:00
75,76,27.73,87.71,5.1,Sankhuwasabha,2000-03-13 11:00:00
76,73,27.76,87.55,4.2,Sankhuwasabha,2000-03-17 11:00:00
77,72,28.07,83.29,4.2,Arghanchi,2000-06-02 11:00:00
78,71,28.070999999999998,85.334,4.5,Nuwakot,2000-09-02 11:00:00
79,70,27.84,87.71,4.1,Taplejung,2000-12-31 11:00:00
81,93,27.805999999999997,86.171,4.8,Dolakha,2001-04-04 11:00:00
82,92,29.458000000000002,81.4,4.4,Bajura,2001-04-15 11:00:00
83,91,29.506999999999998,81.39399999999999,4.3,Bajhang,2001-07-11 11:00:00
84,90,27.97,84.68,5.9,Gorkha,2001-07-16 11:00:00
85,89,28.29,84.27,4.8,Lamjung,2001-07-16 11:00:00
86,88,29.820999999999998,80.64399999999999,5.0,Darchula,2001-09-13 11:00:00
87,87,26.98,87.78,4.8,Udayapur,2001-09-27 11:00:00
88,86,29.56,81.46,4.7,Humla,2001-10-27 11:00:00
89,85,29.53,81.81,5.8,Mugu,2001-11-27 11:00:00
90,84,29.63,81.79,5.7,Mugu,2001-11-27 11:00:00
91,83,29.52,81.99,5.2,Mugu,2001-11-27 11:00:00
92,82,29.59,81.77,4.5,Mugu,2001-11-28 11:00:00
93,81,29.58,81.8,4.8,Mugu,2001-12-18 11:00:00
95,111,27.72,86.37,4.1,Dolakha,2002-02-03 11:00:00
96,110,27.46,86.17399999999999,4.0,Ramechhap,2002-04-09 11:00:00
97,109,26.87,86.31,4.0,Udayapur,2002-04-15 11:00:00
98,108,27.67,86.67,5.2,Solukhumbu,2002-05-02 11:00:00
99,107,28.79,80.53,4.0,Kanchanpur,2002-06-04 11:00:00
101,105,28.86,80.75,4.0,Kailali,2002-06-05 11:00:00
102,104,28.77,81.12,4.0,Kailali,2002-06-07 11:00:00
103,103,28.23,84.86,4.0,Dhading,2002-06-13 11:00:00
105,101,27.17,84.82,4.1,Parsa,2002-07-02 11:00:00
106,100,27.75,87.36,4.3,Sankhuwasava,2002-07-16 11:00:00
107,99,26.97,86.4,4.1,Udayapur,2002-08-11 11:00:00
108,98,28.98,80.75,4.1,Kailali,2002-09-09 11:00:00
109,97,28.18,83.9,4.1,Kaski,2002-10-09 11:00:00
